economy,Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
ZWE,Zimbabwe,83.1234047851259,89.4659437238642,74.1627003825153,58.6560737143829,54.6717592473918,56.7496526604333,51.2190376594477,55.028317831061,54.55031658746,46.1065442675515,40.1784062234355,44.1145594899855,55.0673522476036
ZMB,Zambia,65.0147025206122,72.7954324384283,75.367709855907,80.4562410213373,76.1934997276313,79.8652687573958,73.958561254616,71.5856946542566,74.8883695274665,68.791204936096,79.2068494095955,86.2085111934645,69.2973154193203
YEM,"Yemen, Rep.",64.3856367797178,63.0594579549043,61.3616371825683,52.5118781367089,48.2430405122774,30.3676590844637,31.0815442908559,42.9699046721967,56.0778227215077,,,,
PSE,West Bank and Gaza,68.4976501575169,67.2495329024414,66.9293273483831,66.2713181162369,67.7398371659149,70.7809681944405,65.4225141833383,68.4486607142857,71.4012754506469,68.9934922812035,67.2881912475775,73.0835496162129,82.3949283869453
VIR,Virgin Islands (U.S.),586.401480111008,679.232772910253,157.177794081683,142.241840556447,164.291725105189,84.7665847665848,113.296471827278,157.696362677913,159.240377262299,155.4234409124,113.596594939702,180.297315287331,205.629280821918
VNM,Viet Nam,113.977687539714,125.260577940829,123.224116745985,130.846354866743,135.410521454361,144.914228195237,145.409507973118,160.98008365887,164.663936775893,164.704215031408,163.245862814935,186.675832836814,183.153619147836
VEN,"Venezuela, RB",46.1368935240203,49.6381215967995,50.6485838828706,62.4795214214587,64.2074401112959,60.288846101805,41.307217198655,42.5829358408751,54.6450667905599,58.1292903256504,26.0912344958707,29.2263400311727,27.8982770650022
VUT,Vanuatu,103.823312203828,96.9987664175314,104.451629665983,106.410757127713,105.199318296807,108.758665668253,106.351935265734,105.526573713997,110.679659822766,99.3829688227082,69.9148948336494,59.9521259721408,63.5996121674253
UZB,Uzbekistan,49.2689977994484,49.6542884929351,44.2393191333204,42.3779149727359,36.3570546649043,30.7561914307089,29.1922970388042,42.5595081895217,64.1381394985773,64.9639227632407,56.0515308349971,57.4589716973222,62.8412525378517
URY,Uruguay,51.6990372012256,53.2470340109018,55.0611541633768,49.7178464746233,49.0876240632174,45.3282408087534,48.4705583785623,46.3780042035515,47.7913104806475,49.7448341159636,47.7318733182088,58.3150410230338,61.0307951043821
USA,United States,28.2198952346731,30.8424862411943,30.6818353657295,30.0079539684645,30.0044781614855,27.8235649187872,26.6079620604584,27.3130208877206,27.6103792720958,26.4537594940475,23.4015629969394,25.6095576621932,27.3139397355363
